n_filters,port,train_fitted,train_real,train_MAPE,train_RMSE,test_results,test_real,test_MAPE,test_RMSE
8,Ningbo(10kTEU),"[[ 453.98443604]
 [ 584.77423096]
 [ 786.99285889]
 [1035.09106445]
 [1197.73571777]
 [1151.42126465]
 [1432.35290527]
 [1596.30200195]
 [1722.30822754]
 [1842.22607422]
 [2051.61987305]
 [2261.44946289]]","[[ 520.8]
 [ 706.8]
 [ 935. ]
 [1084.6]
 [1042. ]
 [1300.4]
 [1451.2]
 [1567.1]
 [1677.4]
 [1870. ]
 [2063. ]
 [2160. ]]",7.455296055252382,93.35315757796153,"[[2366.90722656]
 [2694.15332031]
 [2883.32568359]
 [3007.26611328]]","[[2461.]
 [2635.]
 [2749.]
 [2872.]]",3.916108280865987,110.3323116683165
8,Shanghai(10kTEU),"[[1542.65136719]
 [1913.69897461]
 [2294.83789062]
 [2761.53857422]
 [2953.89453125]
 [2640.86914062]
 [3068.36254883]
 [3349.01367188]
 [3432.05249023]
 [3546.4152832 ]
 [3721.74316406]
 [3853.65966797]]","[[1808.4]
 [2171. ]
 [2615. ]
 [2798. ]
 [2500.2]
 [2906.9]
 [3173.9]
 [3252.9]
 [3361.7]
 [3528.5]
 [3654. ]
 [3713. ]]",6.826169268997158,217.42646485460403,"[[3915.67675781]
 [4241.52636719]
 [4428.62646484]
 [4564.22167969]]","[[4023.]
 [4201.]
 [4330.]
 [4350.]]",2.708702282324914,131.1285365269152
8,Singapore(10kTEU),"[[2185.46875   ]
 [2374.78100586]
 [2537.36791992]
 [2856.85107422]
 [3058.25610352]
 [2646.60620117]
 [2907.15161133]
 [3060.28808594]
 [3234.15478516]
 [3328.65869141]
 [3459.74389648]
 [3160.07568359]]","[[2319.2]
 [2479.2]
 [2793.6]
 [2991.8]
 [2586.7]
 [2843.1]
 [2993.8]
 [3164.9]
 [3257.9]
 [3386.9]
 [3092. ]
 [3090. ]]",5.967616607640818,211.38079632224313,"[[3158.04345703]
 [3439.52270508]
 [3737.25952148]
 [3798.22973633]]","[[3367.]
 [3660.]
 [3720.]
 [3660.]]",4.117679930557745,167.09161073549674
8,Shenzhen(10kTEU),"[[1412.86975098]
 [1674.17651367]
 [1907.72900391]
 [2178.08154297]
 [2210.46240234]
 [1885.2166748 ]
 [2323.02368164]
 [2329.29467773]
 [2367.32910156]
 [2402.07373047]
 [2480.09619141]
 [2496.85205078]]","[[1619.7]
 [1846.9]
 [2109.9]
 [2141.4]
 [1825. ]
 [2250.9]
 [2257. ]
 [2294. ]
 [2327.8]
 [2403.7]
 [2420. ]
 [2397. ]]",6.971892518732334,186.6119814719174,"[[2473.20898438]
 [2600.67553711]
 [2860.74902344]
 [2658.24121094]]","[[2521.]
 [2774.]
 [2577.]
 [2655.]]",4.819200437973124,167.96529727957866
8,Hong Kong(10kTEU),"[[2177.57446289]
 [2221.3840332 ]
 [2331.35400391]
 [2376.74609375]
 [2425.79760742]
 [2084.21850586]
 [2347.17724609]
 [2414.91943359]
 [2289.62109375]
 [2215.45068359]
 [2201.5065918 ]
 [1988.29150391]]","[[2242.7]
 [2353.9]
 [2399.8]
 [2449.4]
 [2104. ]
 [2369.9]
 [2438.4]
 [2311.7]
 [2236.7]
 [2222.6]
 [2007. ]
 [1981. ]]",5.221197723195022,151.83501331584847,"[[1962.57922363]
 [2056.52807617]
 [1941.81140137]
 [1813.24926758]]","[[2076.]
 [1960.]
 [1830.]
 [2007.]]",6.5379978809808765,134.37175837102654
8,Busan(10kTEU),"[[1202.14587402]
 [1238.77111816]
 [1258.28356934]
 [1387.67138672]
 [1406.66186523]
 [1253.06628418]
 [1484.0859375 ]
 [1691.73242188]
 [1781.6776123 ]
 [1848.45849609]
 [1951.96862793]
 [2032.52294922]]","[[1184.3]
 [1203. ]
 [1327. ]
 [1345.2]
 [1198. ]
 [1419.4]
 [1618.4]
 [1704.6]
 [1768.6]
 [1867.8]
 [1945. ]
 [1985. ]]",4.627788736944755,91.46422151846483,"[[2074.26049805]
 [2141.04174805]
 [2263.12524414]
 [2297.55932617]]","[[2049.]
 [2166.]
 [2199.]
 [2159.]]",2.929739697574259,78.37687941515445
8,Guangzhou(10kTEU),"[[ 371.8034668 ]
 [ 520.51220703]
 [ 726.12762451]
 [1118.78308105]
 [1198.66711426]
 [1218.96020508]
 [1364.98461914]
 [1548.58898926]
 [1600.44934082]
 [1661.22119141]
 [1799.83691406]
 [1866.40686035]]","[[ 468.5]
 [ 660. ]
 [1025.7]
 [1100.1]
 [1119. ]
 [1255. ]
 [1426. ]
 [1474.3]
 [1530.9]
 [1660. ]
 [1722. ]
 [1885. ]]",8.50925599273299,110.69103708162714,"[[2041.42163086]
 [2204.62548828]
 [2365.68212891]
 [2511.70654297]]","[[2037.]
 [2187.]
 [2323.]
 [2319.]]",2.792564006909834,99.10573203345189
8,Qingdao(10kTEU),"[[ 570.09790039]
 [ 693.74279785]
 [ 841.54455566]
 [1028.01831055]
 [1118.92431641]
 [1112.56726074]
 [1298.19348145]
 [1404.99230957]
 [1562.11779785]
 [1669.86975098]
 [1782.17797852]
 [1876.47424316]]","[[ 630.7]
 [ 770.2]
 [ 946.2]
 [1032. ]
 [1026. ]
 [1201.2]
 [1302. ]
 [1450.3]
 [1552. ]
 [1658. ]
 [1747. ]
 [1801. ]]",4.867184237852432,62.06314924885085,"[[1933.68798828]
 [1964.41381836]
 [1960.17578125]
 [2251.54101562]]","[[1830.]
 [1826.]
 [2101.]
 [2200.]]",5.572918107648522,114.45252389619793
8,Dubai(10kTEU),"[[ 683.33215332]
 [ 912.77587891]
 [ 944.62573242]
 [1140.33398438]
 [1248.87451172]
 [1172.70739746]
 [1225.09204102]
 [1371.76843262]
 [1400.05603027]
 [1438.92541504]
 [1607.39379883]
 [1644.16772461]]","[[ 861.9]
 [ 892.3]
 [1079.1]
 [1182.7]
 [1110. ]
 [1160. ]
 [1300. ]
 [1327. ]
 [1364.1]
 [1524.9]
 [1560. ]
 [1573. ]]",6.469610268791483,89.08911774389969,"[[1657.78796387]
 [1620.07092285]
 [1576.06811523]
 [1488.06213379]]","[[1537.]
 [1495.]
 [1411.]
 [1350.]]",9.537529436669388,138.3303142947528
8,Tianjin(10kTEU),"[[ 417.84606934]
 [ 522.38604736]
 [ 644.33178711]
 [ 880.58154297]
 [ 914.96838379]
 [ 936.19470215]
 [1082.65673828]
 [1241.8548584 ]
 [1318.26989746]
 [1393.6237793 ]
 [1505.16845703]
 [1510.36889648]]","[[ 480.1]
 [ 595. ]
 [ 817.6]
 [ 850. ]
 [ 870. ]
 [1008. ]
 [1158. ]
 [1230. ]
 [1301. ]
 [1406.1]
 [1411. ]
 [1449. ]]",6.903944965243911,74.26780856032319,"[[1550.69909668]
 [1612.25561523]
 [1710.95825195]
 [1848.9296875 ]]","[[1507.]
 [1600.]
 [1730.]
 [1835.]]",1.3813767631990652,25.575552378795475
8,Rotterdam(10kTEU),"[[ 854.02429199]
 [ 957.01519775]
 [ 993.2868042 ]
 [1018.31933594]
 [1110.27539062]
 [1002.27801514]
 [1145.52526855]
 [1220.21398926]
 [1219.09020996]
 [1194.15991211]
 [1263.3314209 ]
 [1256.38354492]]","[[ 930. ]
 [ 965.5]
 [ 990. ]
 [1080. ]
 [ 974.3]
 [1114.5]
 [1187.6]
 [1186.5]
 [1162.1]
 [1229.8]
 [1223. ]
 [1238. ]]",4.840498401951462,64.63505398868995,"[[1271.70935059]
 [1409.64367676]
 [1489.33898926]
 [1521.01293945]]","[[1373.]
 [1451.]
 [1482.]
 [1435.]]",4.179164855958771,69.68182626683956
